fixture,code,cluster,measure,page,staff,voice,expectedOnset,generatedOnset,onsetDiff,expectedPitch,generatedPitch,expectedChord,generatedChord,fragmentedSameClef,sequentialSameXCount,duplicateOwnershipCount
piano-articulation-scan,missing-note,note-dropped-during-packing,8,,2,2,0,,,E2,,,,,,
piano-articulation-scan,missing-note,note-dropped-during-packing,8,,2,2,0,,,B2,,,,,,
piano-articulation-scan,extra-note,nearby-voices-incorrectly-merged,8,,2,2,,2.75,,,B2,,,,,
piano-articulation-scan,extra-note,nearby-voices-incorrectly-merged,8,,2,2,,2.75,,,C3,,,,,
piano-articulation-scan,extra-note,nearby-voices-incorrectly-merged,8,,2,2,,2.75,,,E3,,,,,
piano-articulation-scan,extra-note,nearby-voices-incorrectly-merged,8,,2,2,,2.75,,,E3,,,,,
piano-articulation-scan,incorrect-chord,note-dropped-during-packing,8,,,,,,,,,E4 G#4 B4,F4 A4,,,
piano-articulation-scan,incorrect-chord,same-chord-split-across-onsets,8,,,,,,,,,G#4 B4,F4 B4,,,
piano-articulation-scan,incorrect-chord,note-dropped-during-packing,8,,,,,,,,,E2 B2,,,,
piano-articulation-scan,incorrect-chord,nearby-voices-incorrectly-merged,8,,,,,,,,,,B2 C3 E3 E3,,,
piano-dense-advanced-vector,onset-mismatch,complete-chord-wrong-onset,2,,1,1,0,0.5,0.5,D4,D4,,,,,
piano-dense-advanced-vector,onset-mismatch,complete-chord-wrong-onset,2,,1,1,0,0.5,0.5,F#4,F#4,,,,,
piano-dense-advanced-vector,onset-mismatch,complete-chord-wrong-onset,2,,1,1,0.5,1,0.5,G#4,G#4,,,,,
piano-dense-advanced-vector,onset-mismatch,complete-chord-wrong-onset,2,,1,1,1,0.5,0.5,A#4,A#4,,,,,
piano-dense-advanced-vector,onset-mismatch,complete-chord-wrong-onset,2,,1,1,3,2.5,0.5,F#4,F#4,,,,,
piano-dense-advanced-vector,onset-mismatch,complete-chord-wrong-onset,2,,1,1,3,2.5,0.5,A#4,A#4,,,,,
piano-dense-advanced-vector,onset-mismatch,complete-chord-wrong-onset,2,,1,1,3,2.5,0.5,C#5,C#5,,,,,
piano-dense-advanced-vector,onset-mismatch,complete-chord-wrong-onset,2,,1,1,3.5,3,0.5,G#4,G#4,,,,,
piano-dense-advanced-vector,onset-mismatch,complete-chord-wrong-onset,2,,2,2,0,0.5,0.5,D2,D2,,,,,
piano-dense-advanced-vector,onset-mismatch,complete-chord-wrong-onset,2,,2,2,0,0.5,0.5,A2,A2,,,,,
piano-dense-advanced-vector,onset-mismatch,complete-chord-wrong-onset,2,,2,2,0,0.5,0.5,D3,D3,,,,,
piano-dense-advanced-vector,onset-mismatch,complete-chord-wrong-onset,2,,2,2,1,1.5,0.5,E2,E2,,,,,
piano-dense-advanced-vector,onset-mismatch,complete-chord-wrong-onset,2,,2,2,1,1.5,0.5,B2,B2,,,,,
piano-dense-advanced-vector,onset-mismatch,complete-chord-wrong-onset,2,,2,2,3,2.5,0.5,G2,G2,,,,,
piano-dense-advanced-vector,onset-mismatch,complete-chord-wrong-onset,2,,2,2,3,2.5,0.5,D3,D3,,,,,
piano-dense-advanced-vector,onset-mismatch,complete-chord-wrong-onset,2,,1,1,3.5,3,0.5,E4,F4,,,,,
piano-dense-advanced-vector,onset-mismatch,complete-chord-wrong-onset,2,,1,1,3.5,3,0.5,B4,C5,,,,,
piano-dense-advanced-vector,missing-note,note-dropped-during-packing,2,,1,1,0,,,A4,,,,,,
piano-dense-advanced-vector,missing-note,note-dropped-during-packing,2,,1,1,0.5,,,E4,,,,,,
piano-dense-advanced-vector,missing-note,note-dropped-during-packing,2,,1,1,0.5,,,B4,,,,,,
piano-dense-advanced-vector,extra-note,nearby-voices-incorrectly-merged,2,,1,1,,1.5,,,F#4,,,,,
piano-dense-advanced-vector,extra-note,nearby-voices-incorrectly-merged,2,,1,1,,1.5,,,A#4,,,,,
piano-dense-advanced-vector,extra-note,nearby-voices-incorrectly-merged,2,,1,1,,1.5,,,C#5,,,,,
piano-dense-advanced-vector,incorrect-chord,remaining-pitch-masquerading-as-chord,2,,,,,,,,,A4 C#5 E5,A#4 C#5 E5,,,
piano-dense-advanced-vector,incorrect-chord,note-dropped-during-packing,2,,,,,,,,,D4 F#4 A4,D4 F#4,,,
piano-dense-advanced-vector,incorrect-chord,note-dropped-during-packing,2,,,,,,,,,E4 G#4 B4,G#4,,,
piano-dense-advanced-vector,incorrect-chord,remaining-pitch-masquerading-as-chord,2,,,,,,,,,F#4 A#4 C#5,F4 A#4 C5,,,
