fixture,code,class,measure,staff,voice,expectedPitch,generatedPitch,expectedOnset,generatedOnset,expectedDuration,generatedDuration,pitchDeltaSemitones,onsetDiffQuarters,durationDiffQuarters,clusterHint,likelyPipelineStage,source
piano-articulation-scan,incorrect-pitch,pitch,3,1,1,B4,F4,0,0,1,1,-6,0,0,staff-pitch-assignment,pitch_mapping,event-match
piano-articulation-scan,missing-note,pitch,3,2,2,E2,,0,,2,,,,,missing-or-extra-extraction,symbol_detection,event-match
piano-articulation-scan,missing-note,pitch,3,2,2,B2,,0,,2,,,,,missing-or-extra-extraction,symbol_detection,event-match
piano-articulation-scan,missing-note,pitch,3,2,2,A2,,2,,2,,,,,missing-or-extra-extraction,symbol_detection,event-match
piano-articulation-scan,missing-note,pitch,3,2,2,E3,,2,,2,,,,,missing-or-extra-extraction,symbol_detection,event-match
piano-articulation-scan,extra-note,pitch,3,1,1,,F4,,2,,1,,,,missing-or-extra-extraction,symbol_detection,event-match
piano-articulation-scan,extra-note,pitch,3,1,1,,F4,,2,,1,,,,missing-or-extra-extraction,symbol_detection,event-match
piano-articulation-scan,extra-note,pitch,3,1,1,,C5,,3,,1,,,,missing-or-extra-extraction,symbol_detection,event-match
piano-articulation-scan,extra-note,pitch,3,1,1,,C5,,3,,1,,,,missing-or-extra-extraction,symbol_detection,event-match
piano-articulation-scan,extra-note,pitch,3,2,2,,A2,,3,,1,,,,missing-or-extra-extraction,symbol_detection,event-match
piano-articulation-scan,extra-note,pitch,3,2,2,,D3,,3,,1,,,,missing-or-extra-extraction,symbol_detection,event-match
piano-articulation-scan,incorrect-chord,measure-structure,3,1,1,,,,,,,,,,chord-grouping,pitch_mapping,chord-integrity
piano-articulation-scan,incorrect-chord,measure-structure,3,1,1,,,,,,,,,,chord-grouping,chord_grouping,chord-integrity
piano-articulation-scan,incorrect-chord,measure-structure,3,1,1,,,,,,,,,,chord-grouping,chord_grouping,chord-integrity
piano-articulation-scan,incorrect-chord,measure-structure,3,,,,,,,,,,,,chord-grouping,chord_grouping,chord-integrity
piano-articulation-scan,incorrect-chord,measure-structure,3,,,,,,,,,,,,chord-grouping,chord_grouping,chord-integrity
piano-articulation-scan,incorrect-chord,measure-structure,3,1,1,,,,,,,,,,chord-grouping,chord_grouping,chord-integrity
piano-articulation-scan,onset-mismatch,rhythm,4,1,1,C5,C5,2,2.5,1,1,0,0.5,0,voice-onset-assignment,rhythm_packing,event-match
piano-articulation-scan,duration-mismatch,rhythm,4,2,2,C3,C3,0,0,2,1,0,0,1,duration-inference,duration_inference,event-match
piano-articulation-scan,incorrect-pitch,pitch,4,1,1,A#4,C5,3,2.5,1,1,2,0.5,0,accidental-or-staff-position,pitch_mapping,event-match
piano-articulation-scan,onset-mismatch,rhythm,4,1,1,A#4,C5,3,2.5,1,1,2,0.5,0,voice-onset-assignment,rhythm_packing,event-match
piano-articulation-scan,incorrect-tie,sustain,4,1,1,A#4,C5,3,2.5,1,1,2,0.5,0,sustain-tie,sustain_association,event-match
piano-articulation-scan,incorrect-pitch,pitch,4,2,2,A#2,A2,2,1.5,2,1,-1,0.5,1,accidental-or-staff-position,pitch_mapping,event-match
piano-articulation-scan,onset-mismatch,rhythm,4,2,2,A#2,A2,2,1.5,2,1,-1,0.5,1,voice-onset-assignment,rhythm_packing,event-match
piano-articulation-scan,duration-mismatch,rhythm,4,2,2,A#2,A2,2,1.5,2,1,-1,0.5,1,duration-inference,duration_inference,event-match
piano-articulation-scan,incorrect-pitch,pitch,4,2,2,F2,C3,0,0,2,1,7,0,1,staff-pitch-assignment,pitch_mapping,event-match
